repository,commit,path,affects_ccd,type_of_change,channel,tough_nut,classified_at,classified_by
nuxt-modules/i18n,c5a55a32dcf9fc212030e2bd6a0e80246a373551,README.md,false,,,0,2025-12-15,"Esser, Leonard"
Hammerspoon/hammerspoon,4b29f85831198a342c4fd4b55fc99a537411ac7a,README.md,false,,,0,2025-12-15,"Esser, Leonard"
GoogleChromeLabs/pwa-wp,75ef4ed3530b80c233c2a53252fbe1f00464d60a,readme.txt,false,,,0,2025-12-16,"Esser, Leonard"
serde-rs/serde,0e8d94750b1e43d30e5789bdd0bef4886034e46b,README.md,false,,,0,2025-12-16,"Esser, Leonard"
gshakhn/idea-fitnesse,0319e3f43d3b30e5dad9bba63abc1afbd93250c6,README.md,false,,,0,2025-12-16,"Esser, Leonard"
amitshekhariitbhu/Android-Debug-Database,94775dde90c42a7335ea1983407a6696a0b2ec9e,README.md,false,,,0,2025-12-16,"Esser, Leonard"
yonadev/yona-server,90b702f2ae6943a371036ab67350ccb2906a9d6d,README.md,false,,,0,2025-12-16,"Esser, Leonard"
Hammerspoon/hammerspoon,019151a00e9127b7f1459f43accab7b18529a564,CONTRIBUTING.md,false,,,0,2025-12-15,"Esser, Leonard"
billz/raspap-webgui,42ecbde8383639e9d0888fbf94a7c077abc33731,README.md,false,,,0,2025-12-16,"Esser, Leonard"
curationexperts/iris,3e50b47d8055718eddc943bb88c3552556c6d486,README.md,false,,,0,2025-12-16,"Esser, Leonard"
rafi/vim-config,23a50f104d634e5e4a19843b4905f4c47192c8f7,README.md,false,,,0,2025-12-16,"Esser, Leonard"
denoland/deno,12753e492f924e32be2a74d94720213f1d5c6b66,README.md,false,,,0,2025-12-16,"Esser, Leonard"
glpi-project/ios-inventory-agent,16ab247206cf1862774707eabed39f135433a385,README.md,false,,,0,2025-12-16,"Esser, Leonard"
layoutBox/PinLayout,3849904675d3e05286739d9bee19f437426ae8eb,README.md,false,,,0,2025-12-16,"Esser, Leonard"
GoogleChromeLabs/pwa-wp,314502fe3914d4d28407f5a4701023286a293957,readme.md,false,,,0,2025-12-16,"Esser, Leonard"
amitshekhariitbhu/Android-Debug-Database,9f085dde550af694ba0a871e3ba5395905d13e38,README.md,false,,,0,2025-12-16,"Esser, Leonard"
pelodelfuego/vim-swoop,889f422255ad0c320298501811ec8f60c7ec3739,README.md,false,,,0,2025-12-16,"Esser, Leonard"
cloudfoundry/eirini,13b28f0c97df0b6e852e824d19a238b42b2cf7f4,README.md,true,TypeOfChange.ADD,,0,2025-12-16,"Esser, Leonard"
lunarmodules/busted,1c0ffff2dd521bf97032c7114db0f4b4d12aaca6,README.md,false,,,0,2025-12-16,"Esser, Leonard"
