V1,V2,V3,V4
8,https://api.github.com/repos/NUBIC/ncs_navigator_core,ncs_navigator_core,\N
453,https://api.github.com/repos/sourcefabric/airtime,Airtime,\N
675,https://api.github.com/repos/requirejs/requirejs,requirejs,\N
868,https://api.github.com/repos/pivotal/pivotal_workstation,pivotal_workstation,\N
1615,https://api.github.com/repos/appdotnet/api-spec,api-spec,\N
3522,https://api.github.com/repos/goinvo/hGraph,hGraph,\N
3594,https://api.github.com/repos/droolsjbpm/jbpm,jbpm,\N
4221,https://api.github.com/repos/symfony-cmf/cmf-sandbox,cmf-sandbox,\N
5008,https://api.github.com/repos/plusjade/jekyll-bootstrap,jekyll-bootstrap,\N
5016,https://api.github.com/repos/rails/activeresource,activeresource,\N
6320,https://api.github.com/repos/couchrest/couchrest_model,couchrest_model,\N
7061,https://api.github.com/repos/mapbox/tilemill,tilemill,\N
9851,https://api.github.com/repos/mongodb/casbah,casbah,\N
10098,https://api.github.com/repos/okfn/recline,recline,\N
11000,https://api.github.com/repos/mozilla-b2g/gaia-email-libs-and-more,gaia-email-libs-and-more,\N
13733,https://api.github.com/repos/jenkinsci/gerrit-trigger-plugin,gerrit-trigger-plugin,\N
13737,https://api.github.com/repos/munin-monitoring/munin,munin,\N
18152,https://api.github.com/repos/senchalabs/jQTouch,jQTouch,\N
19561,https://api.github.com/repos/BonsaiDen/JavaScript-Garden,JavaScript-Garden,\N
20418,https://api.github.com/repos/susestudio/studio-help,studio-help,\N
20429,https://api.github.com/repos/thoughtbot/paperclip,paperclip,\N
22720,https://api.github.com/repos/Eyescale/Buildyard,Buildyard,\N
23371,https://api.github.com/repos/Netflix/archaius,archaius,\N
26359,https://api.github.com/repos/facebook/libphutil,libphutil,\N
26734,https://api.github.com/repos/Locale/localeapp,localeapp,\N
27242,https://api.github.com/repos/tokuhirom/Amon,Amon,\N
27519,https://api.github.com/repos/twilio/twilio-java,twilio-java,\N
31185,https://api.github.com/repos/denoflionsx/PluginsForForestry,PluginsForForestry,\N
36089,https://api.github.com/repos/heroku/heroku-eclipse-plugin,heroku-eclipse-plugin,\N
36461,https://api.github.com/repos/jonashaag/klaus,klaus,\N
37576,https://api.github.com/repos/linuxmint/mdm,mdm,\N
40322,https://api.github.com/repos/wg-perception/object_recognition_core,object_recognition_core,\N
40590,https://api.github.com/repos/wg-perception/tod,tod,\N
42556,https://api.github.com/repos/andrew/node-sass,node-sass,\N
